timestamp;Particle size (mm);Particle speed (mm/h)
2023-02-23T16:56:00.765872;01.572;04.187
2023-02-23T16:56:00.765872;00.661;01.653
2023-02-23T16:56:00.765872;00.641;01.637
2023-02-23T16:56:00.765872;00.680;01.776
2023-02-23T16:56:00.765872;01.125;03.407
2023-02-23T16:56:00.765872;00.991;03.298
2023-02-23T16:56:00.765872;00.512;01.241
2023-02-23T16:56:00.765872;01.033;03.430
2023-02-23T16:56:00.765872;01.087;03.843
2023-02-23T16:56:00.765872;01.528;04.661
2023-02-23T16:56:00.765872;00.455;01.131
2023-02-23T16:56:00.765872;00.964;03.295
2023-02-23T16:56:00.765872;01.166;03.326
2023-02-23T16:56:00.765872;00.937;02.950
2023-02-23T16:56:00.765872;00.578;01.551
2023-02-23T16:56:00.765872;00.458;00.665
2023-02-23T16:56:00.765872;01.034;03.591
2023-02-23T16:56:00.765872;01.098;03.510
2023-02-23T16:56:00.765872;01.218;03.667
2023-02-23T16:56:00.765872;00.613;01.521
2023-02-23T16:56:00.765872;01.305;04.160
2023-02-23T16:56:00.765872;01.107;03.896
2023-02-23T16:56:00.765872;01.144;04.297
2023-02-23T16:56:00.765872;00.411;02.378
2023-02-23T16:56:00.765872;00.563;01.726
2023-02-23T16:56:00.765872;00.531;02.274
2023-02-23T16:56:00.765872;00.802;03.610
2023-02-23T16:56:00.765872;01.162;03.544
2023-02-23T16:56:00.765872;00.470;01.713
2023-02-23T16:56:00.765872;01.268;04.238
2023-02-23T16:56:00.765872;01.089;03.850
2023-02-23T16:56:00.765872;00.595;02.559
2023-02-23T16:56:00.765872;00.581;02.738
2023-02-23T16:56:00.765872;00.528;02.456
2023-02-23T16:56:00.765872;01.046;04.268
2023-02-23T16:56:00.765872;00.543;01.771
2023-02-23T16:56:00.765872;00.932;03.423
2023-02-23T16:56:00.765872;01.432;04.035
2023-02-23T16:56:00.765872;00.984;03.863
2023-02-23T16:56:00.765872;00.515;01.739
2023-02-23T16:56:00.765872;00.360;00.696
2023-02-23T16:56:00.765872;00.709;02.463
2023-02-23T16:56:00.765872;00.610;02.113
2023-02-23T16:56:00.765872;00.625;02.322
2023-02-23T16:56:00.765872;00.674;01.266
2023-02-23T16:56:00.765872;01.311;04.394
2023-02-23T16:56:00.765872;00.674;02.021
2023-02-23T16:56:00.765872;00.955;03.286
2023-02-23T16:56:00.765872;01.141;04.192
2023-02-23T16:56:00.765872;00.528;01.883
2023-02-23T16:56:00.765872;00.765;02.298
2023-02-23T16:56:00.765872;00.469;01.898
2023-02-23T16:56:00.765872;00.422;00.839
2023-02-23T16:56:00.765872;00.691;02.701
2023-02-23T16:56:00.765872;00.855;02.458
2023-02-23T16:56:00.765872;00.542;01.848
2023-02-23T16:56:00.765872;00.983;03.991
2023-02-23T16:56:00.765872;01.105;03.356
2023-02-23T16:56:00.765872;00.810;02.888
2023-02-23T16:56:00.765872;01.098;04.150
2023-02-23T16:56:00.765872;00.505;01.844
2023-02-23T16:56:00.765872;00.422;01.426
2023-02-23T16:56:00.765872;00.410;01.733
2023-02-23T16:56:00.765872;00.824;02.719
2023-02-23T16:56:00.765872;00.625;02.327
2023-02-23T16:56:00.765872;01.294;04.521
2023-02-23T16:56:00.765872;01.396;04.408
2023-02-23T16:56:00.765872;00.778;03.088
2023-02-23T16:56:00.765872;00.928;03.435
2023-02-23T16:56:00.765872;01.395;04.271
2023-02-23T16:56:00.765872;01.395;04.570
2023-02-23T16:56:00.765872;01.097;03.890
2023-02-23T16:56:00.765872;00.620;01.616
2023-02-23T16:56:00.765872;00.504;01.321
2023-02-23T16:56:00.765872;00.835;02.898
2023-02-23T16:56:00.765872;00.880;02.579
2023-02-23T16:56:00.765872;00.950;03.600
2023-02-23T16:56:00.765872;00.537;02.168
2023-02-23T16:56:00.765872;00.552;02.017
2023-02-23T16:56:00.765872;00.368;01.733
2023-02-23T16:56:00.765872;01.002;03.763
2023-02-23T16:56:00.765872;00.632;02.575
2023-02-23T16:56:00.765872;00.637;02.515
2023-02-23T16:56:00.765872;00.855;03.032
2023-02-23T16:56:00.765872;00.604;02.604
2023-02-23T16:56:00.765872;00.616;01.992
2023-02-23T16:56:00.765872;00.506;02.136
2023-02-23T16:56:00.765872;00.786;03.220
2023-02-23T16:56:00.765872;00.554;02.212
2023-02-23T16:56:00.765872;01.083;03.491
2023-02-23T16:56:00.765872;00.804;03.188
2023-02-23T16:56:00.765872;00.974;03.191
2023-02-23T16:56:00.765872;00.979;04.141
2023-02-23T16:56:00.765872;01.098;04.160
2023-02-23T16:56:00.765872;00.554;02.134
2023-02-23T16:56:00.765872;01.010;03.232
2023-02-23T16:56:00.765872;00.937;03.059
2023-02-23T16:56:00.765872;01.303;04.035
2023-02-23T16:56:00.765872;00.729;02.663
2023-02-23T16:56:00.765872;00.613;02.541
2023-02-23T16:56:00.765872;00.531;02.107
2023-02-23T16:56:00.765872;00.893;02.452
2023-02-23T16:56:00.765872;00.454;01.596
2023-02-23T16:56:00.765872;00.439;01.144
2023-02-23T16:56:00.765872;00.724;02.211
2023-02-23T16:56:00.765872;01.288;04.264
2023-02-23T16:56:00.765872;00.685;02.044
2023-02-23T16:56:00.765872;00.414;01.399
2023-02-23T16:56:00.765872;00.512;01.722
2023-02-23T16:56:00.765872;00.903;02.646
2023-02-23T16:56:00.765872;00.934;01.866
2023-02-23T16:56:00.765872;00.726;01.951
2023-02-23T16:56:00.765872;00.436;00.585
2023-02-23T16:56:00.765872;00.665;01.689
2023-02-23T16:56:00.765872;00.577;01.655
2023-02-23T16:56:00.765872;00.628;01.484
2023-02-23T16:56:00.765872;00.640;01.747
2023-02-23T16:56:00.765872;00.602;01.487
2023-02-23T16:56:00.765872;01.147;04.082
2023-02-23T16:56:00.765872;00.724;02.758
2023-02-23T16:56:00.765872;00.830;01.836
2023-02-23T16:56:00.765872;00.571;01.277
