timestamp;Rain intensity (mm/h);Rain amount accumulated (mm);Weather code to SYNOP waw;Weather code to SYNOP ww;Weather code METAR/SPECI;Weather code according to NWS;Radar reflectivity (dBz);MOR visibility in precipitation (m);Sample interval (s);Signal amplitude of the laser strip;Number of particles detected and validated;Temperature in the sensor housing (°C);Sensor serial number;Firmware IOP version number;Firmware DSP version number;Sensor head heating current (A);Power supply voltage (V);Sensor status;Sensor time;Sensor date;Station name;Station number;Rain amount absolute (mm);Error code;Temperature PCB (°C);Temperature right sensor head (°C);Temperature left sensor head (°C);Rain intensity max. 30.000 mm/h (mm/h);Rain intensity max. 1200.0 mm/h (mm/h);Rain amount accumulated 16bit (mm);Radar reflectivity (dBz);Kinetic energy (J/(m^2h));Snow depth intensity (mm/h);Number of all particles detected
2023-02-25T00:59:00.903513;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12884;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:57:00;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T01:00:00.876058;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12884;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:58:00;25.02.2023;GV;008;0003.69;000;018;011;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T01:01:00.847192;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12893;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:59:00;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T01:02:00.823283;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12876;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;01:00:00;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T01:03:00.797248;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12900;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;01:01:00;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T01:04:00.771104;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12872;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;01:02:00;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T01:05:00.743821;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12876;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;01:03:00;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000001
2023-02-25T01:06:00.719392;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12886;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;01:04:00;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T01:07:00.692235;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12885;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;01:05:00;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T01:08:00.665253;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12900;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;01:06:00;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
